,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente
513,Alpiarça,2023,10,Santarém,348,4254
514,Alpiarça,2023,11,Santarém,303,4293
515,Alpiarça,2023,12,Santarém,300,4283
516,Alpiarça,2024,1,Santarém,316,4270
517,Alpiarça,2024,2,Santarém,318,4270
518,Alpiarça,2024,3,Santarém,271,4313
519,Alpiarça,2024,4,Santarém,274,4312
520,Alter do Chão,2022,3,Portalegre,533,2349
521,Alter do Chão,2022,4,Portalegre,510,2367
522,Alter do Chão,2022,5,Portalegre,474,2400
523,Alter do Chão,2022,6,Portalegre,463,2416
524,Alter do Chão,2022,7,Portalegre,401,2475
525,Alter do Chão,2022,8,Portalegre,389,2489
526,Alter do Chão,2022,9,Portalegre,389,2490
527,Alter do Chão,2022,10,Portalegre,382,2497
528,Alter do Chão,2022,11,Portalegre,388,2497
529,Alter do Chão,2022,12,Portalegre,338,2552
530,Alter do Chão,2023,1,Portalegre,288,2600
531,Alter do Chão,2023,2,Portalegre,293,2597
532,Alter do Chão,2023,3,Portalegre,221,2674
533,Alter do Chão,2023,4,Portalegre,216,2679
534,Alter do Chão,2023,5,Portalegre,231,2664
535,Alter do Chão,2023,6,Portalegre,219,2673
536,Alter do Chão,2023,7,Portalegre,258,2637
537,Alter do Chão,2023,8,Portalegre,213,2689
538,Alter do Chão,2023,9,Portalegre,268,2635
539,Alter do Chão,2023,10,Portalegre,253,2653
540,Alter do Chão,2023,11,Portalegre,275,2634
541,Alter do Chão,2023,12,Portalegre,195,2711
542,Alter do Chão,2024,1,Portalegre,203,2702
543,Alter do Chão,2024,2,Portalegre,193,2705
544,Alter do Chão,2024,3,Portalegre,172,2727
545,Alter do Chão,2024,4,Portalegre,168,2729
546,Alvaiázere,2022,3,Leiria,1785,4140
