,concelho,ano,mes,distrito,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao
357,Aljezur,2023,10,Faro,2,0,26,20,17,8
358,Aljezur,2023,11,Faro,1,0,31,28,22,7
359,Aljezur,2023,12,Faro,4,0,13,11,17,6
360,Aljezur,2024,1,Faro,1,0,33,21,12,5
361,Aljezur,2024,2,Faro,2,0,11,10,11,3
362,Aljezur,2024,3,Faro,3,0,21,15,18,6
363,Aljezur,2024,4,Faro,0,0,9,7,2,1
364,Aljustrel,2022,3,Beja,1,0,17,13,7,6
365,Aljustrel,2022,4,Beja,4,0,36,36,13,15
366,Aljustrel,2022,5,Beja,2,0,45,38,10,9
367,Aljustrel,2022,6,Beja,2,0,50,44,11,11
368,Aljustrel,2022,7,Beja,1,0,27,27,7,6
369,Aljustrel,2022,8,Beja,1,0,46,38,12,7
370,Aljustrel,2022,9,Beja,2,0,31,27,12,6
371,Aljustrel,2022,10,Beja,7,0,29,24,16,2
372,Aljustrel,2022,11,Beja,26,0,33,26,14,10
373,Aljustrel,2022,12,Beja,51,0,35,29,10,7
374,Aljustrel,2023,1,Beja,81,0,51,38,18,10
375,Aljustrel,2023,2,Beja,174,0,45,36,21,4
376,Aljustrel,2023,3,Beja,31,0,41,33,24,8
377,Aljustrel,2023,4,Beja,23,0,45,47,11,12
378,Aljustrel,2023,5,Beja,34,0,66,43,15,11
379,Aljustrel,2023,6,Beja,4,0,42,39,19,14
380,Aljustrel,2023,7,Beja,4,0,45,38,7,15
381,Aljustrel,2023,8,Beja,2,0,43,34,11,6
382,Aljustrel,2023,9,Beja,5,0,26,26,15,9
383,Aljustrel,2023,10,Beja,3,0,44,36,18,11
384,Aljustrel,2023,11,Beja,1,0,49,45,30,9
385,Aljustrel,2023,12,Beja,0,0,32,24,28,3
386,Aljustrel,2024,1,Beja,1,0,42,35,29,6
387,Aljustrel,2024,2,Beja,1,0,17,17,10,1
388,Aljustrel,2024,3,Beja,3,0,40,29,14,6
389,Aljustrel,2024,4,Beja,0,0,16,14,3,3
390,Almada,2022,3,Setúbal,15,0,359,284,207,134
391,Almada,2022,4,Setúbal,60,1,704,642,425,271
392,Almada,2022,5,Setúbal,48,3,918,636,504,238
393,Almada,2022,6,Setúbal,31,0,973,763,436,271
394,Almada,2022,7,Setúbal,41,0,857,698,386,215
395,Almada,2022,8,Setúbal,39,1,1105,853,508,336
396,Almada,2022,9,Setúbal,28,17,916,719,548,220
397,Almada,2022,10,Setúbal,163,3,701,630,561,233
398,Almada,2022,11,Setúbal,1858,1,889,644,522,197
399,Almada,2022,12,Setúbal,1959,0,771,637,529,208
400,Almada,2023,1,Setúbal,1233,2,1238,847,596,254
401,Almada,2023,2,Setúbal,1229,0,982,783,556,264
402,Almada,2023,3,Setúbal,986,3,1082,870,608,265
403,Almada,2023,4,Setúbal,878,1,1047,850,381,290
404,Almada,2023,5,Setúbal,1516,1,1334,989,467,322
405,Almada,2023,6,Setúbal,138,0,1091,852,441,298
